"ID","KEY","VALUE","RECORDSTATUS","COMPANYID","UPDATEUSERCODE","UPDATEDATE","LOCALSTORAGEENABLED","TOKENENABLED","DESCRIPTION"
8,EMail.Test,,1,0,1,2025-01-30 00:00:00.000,0,0,Permite indicar un correo de forma que cualquier correo enviado por aliados usara el valor indicado
15,Payment.Placetopay.Enabled,true,1,0,6329,0205-09-13 00:00:00.000,0,0,Permite activar o desactivar la pasarela de pago
16,Payment.Placetopay.Enabled,true,1,0,6329,2025-09-14 15:14:47.000,0,0,Permite activar o desactivar la pasarela de pago
3,Payment.Silice.Init.Timeout.Minutes,"10",1,0,6329,2024-08-22 00:00:00.000,0,1,"Tiempo m?ximo para que el pago de un recibo se procesado, depues de los minutos indicados si el recibo no cambia del estado inicial, la sesi?n es cancelada."
4,Payment.Silice.RecurringReceipts.Filter.Policies,"3032510110245",1,0,6329,2024-11-05 00:00:00.000,0,1,Polizas a cobrar por recurrencia
13,Payment.Silice.RecurringReceipts.Limit.Count,"10",1,0,6329,2024-08-22 00:00:00.000,0,0,Polizas a cobrar por recurrencia
9,Payment.Silice.Tokenize.Cantidad.Tarjetas,"5",1,0,1,2025-01-30 00:00:00.000,0,0,Indica la cantidad de tarjetas a ser procesar en la extracción para tokenización
17,Security.2FA.Enable,true,1,0,6329,2025-10-28 00:00:00.000,0,0,
18,Security.Tenant.Tron.Agent.Information,"2,12,13",1,0,6329,2025-10-28 00:00:00.000,0,0,Indica en cuales tenant se debe cargar la información de agente TRON
1,Tenant.Settings.Payment.Provider,Evertec,1,0,6329,2024-08-22 00:00:00.000,1,1,Indica cual el proveedor de pago (Evertec o Silice)
2,Tenant.Settings.Payment.Provider,Silice,1,99,6329,2024-08-22 00:00:00.000,1,1,Indica cual el proveedor de pago (Evertec o Silice)
11,aliados.api.report.url,,1,0,6329,2024-08-22 00:00:00.000,0,0,Indica la ruta completa del servicio de reporte en caso de estar vacio se usara el setting aliados.api.url.base m?s '/AliadoServReports'
10,aliados.api.url.base,https://appqa.mapfrecr.com/,1,0,6329,2024-08-22 00:00:00.000,0,0,Indica la ruta base usada para la los servicios ejemplo https://appqa.mapfrecr.com/
12,aliados.app.path.temp,C:\aliados\webapp\files\,1,0,6329,2024-08-22 00:00:00.000,0,0,"Ruta fisica en el servidor donde se generan archivos de forma temporal, el contenido de esta ruta puede ser borrado en horarios de mantenimiento."
